sales_agent,product,account,deal_stage,close_date,close_value
Anna Snelling,GTX Basic,Inity,Won,5/2/2017,550
Anna Snelling,MG Special,Cancity,Won,5/4/2017,55
Anna Snelling,GTX Basic,Hottechi,Won,5/5/2017,518
Anna Snelling,GTX Plus Pro,Treequote,Won,5/8/2017,5883
Anna Snelling,GTX Plus Basic,Inity,Won,5/9/2017,1140
Anna Snelling,GTX Plus Pro,Dontechi,Won,5/9/2017,4784
Anna Snelling,GTX Plus Basic,Conecom,Won,5/11/2017,1300
Anna Snelling,GTX Basic,Rangreen,Won,5/14/2017,544
Anna Snelling,GTX Plus Basic,Scottech,Won,5/15/2017,918
Anna Snelling,MG Special,Scottech,Won,5/19/2017,56
Anna Snelling,MG Special,Rundofase,Won,5/22/2017,50
Anna Snelling,MG Special,Globex Corporation,Won,5/23/2017,46
Anna Snelling,MG Special,Condax,Won,5/25/2017,52
Anna Snelling,MG Special,Streethex,Won,5/25/2017,52
Anna Snelling,MG Special,Dontechi,Won,5/26/2017,52
Anna Snelling,MG Special,Conecom,Won,5/28/2017,51
Anna Snelling,GTX Plus Pro,Toughzap,Won,5/29/2017,5092
Anna Snelling,MG Special,Domzoom,Won,5/30/2017,63
Anna Snelling,MG Special,Ron-tech,Won,5/30/2017,52
Anna Snelling,GTX Plus Basic,Finhigh,Won,6/1/2017,1216
Anna Snelling,MG Special,Zumgoity,Won,6/1/2017,51
Anna Snelling,MG Advanced,Betatech,Won,6/2/2017,3666
Anna Snelling,MG Special,Ron-tech,Won,6/2/2017,58
Anna Snelling,GTX Basic,dambase,Won,6/4/2017,574
Anna Snelling,MG Special,Domzoom,Won,6/4/2017,54
Anna Snelling,MG Special,Scottech,Won,6/6/2017,56
Anna Snelling,MG Special,Rundofase,Won,6/7/2017,59
Anna Snelling,MG Advanced,Genco Pura Olive Oil Company,Won,6/7/2017,3081
Anna Snelling,MG Special,Warephase,Won,6/8/2017,52
Anna Snelling,GTX Basic,Isdom,Won,6/8/2017,523
Anna Snelling,GTX Basic,Dontechi,Won,6/9/2017,527
Anna Snelling,MG Special,Konmatfix,Won,6/9/2017,52
Anna Snelling,GTX Plus Basic,Conecom,Won,6/10/2017,1056
Anna Snelling,GTX Plus Pro,Globex Corporation,Won,6/11/2017,6023
Anna Snelling,GTX Basic,Streethex,Won,6/11/2017,595
Anna Snelling,GTX Basic,Genco Pura Olive Oil Company,Won,6/11/2017,497
Anna Snelling,MG Special,Hottechi,Won,6/11/2017,63
Anna Snelling,GTX Plus Pro,Betatech,Won,6/12/2017,5370
Anna Snelling,GTX Basic,Codehow,Won,6/13/2017,522
Anna Snelling,MG Special,Condax,Won,6/15/2017,58
Anna Snelling,GTX Plus Basic,Rangreen,Won,6/16/2017,1037
Anna Snelling,GTX Basic,Streethex,Won,6/20/2017,460
Anna Snelling,MG Special,Condax,Won,6/20/2017,54
Anna Snelling,MG Special,Rundofase,Won,6/22/2017,54
Anna Snelling,GTX Basic,dambase,Won,6/23/2017,626
Anna Snelling,MG Advanced,Rangreen,Won,6/23/2017,3813
Anna Snelling,MG Special,Globex Corporation,Won,6/23/2017,55
Anna Snelling,MG Special,Isdom,Won,6/24/2017,58
Anna Snelling,MG Advanced,Hottechi,Won,6/26/2017,3415
Anna Snelling,GTX Basic,Rangreen,Won,6/27/2017,524
Anna Snelling,MG Special,Bioholding,Won,6/27/2017,63
Anna Snelling,GTX Plus Basic,dambase,Won,6/28/2017,1041
Anna Snelling,GTX Plus Basic,Hottechi,Won,6/30/2017,1073
Anna Snelling,MG Special,Stanredtax,Won,7/2/2017,64
Anna Snelling,GTX Plus Basic,Warephase,Won,7/6/2017,991
Anna Snelling,MG Special,Dontechi,Won,7/6/2017,56
Anna Snelling,GTX Plus Basic,Statholdings,Won,7/9/2017,1180
Anna Snelling,GTX Plus Basic,Betatech,Won,7/10/2017,1047
Anna Snelling,GTX Plus Basic,Domzoom,Won,7/17/2017,962
Anna Snelling,MG Special,Treequote,Won,7/17/2017,44
Anna Snelling,GTX Plus Basic,Ron-tech,Won,7/21/2017,1160
Anna Snelling,MG Special,Rangreen,Won,7/25/2017,59
Anna Snelling,MG Special,Betatech,Won,7/25/2017,53
Anna Snelling,MG Special,Condax,Won,7/27/2017,54
Anna Snelling,GTX Plus Pro,Bioholding,Won,7/29/2017,5068
Anna Snelling,MG Special,Globex Corporation,Won,7/29/2017,46
Anna Snelling,MG Special,Codehow,Won,8/1/2017,53
Anna Snelling,GTX Basic,Finhigh,Won,8/3/2017,489
Anna Snelling,MG Advanced,Ron-tech,Won,8/3/2017,3031
Anna Snelling,MG Special,Isdom,Won,8/4/2017,59
Anna Snelling,MG Special,Funholding,Won,8/4/2017,54
Anna Snelling,GTX Plus Pro,Isdom,Won,8/5/2017,4603
Anna Snelling,GTX Basic,Bioholding,Won,8/11/2017,475
Anna Snelling,MG Advanced,Rangreen,Won,8/14/2017,3334
Anna Snelling,MG Advanced,Isdom,Won,8/15/2017,3470
Anna Snelling,MG Advanced,Konmatfix,Won,8/16/2017,3452
Anna Snelling,MG Special,Cancity,Won,8/16/2017,52
Anna Snelling,MG Special,dambase,Won,8/18/2017,53
Anna Snelling,MG Special,Dontechi,Won,8/18/2017,46
Anna Snelling,MG Special,Warephase,Won,8/20/2017,61
Anna Snelling,MG Special,Stanredtax,Won,8/21/2017,57
Anna Snelling,GTX Plus Pro,Stanredtax,Won,8/23/2017,5847
Anna Snelling,GTX Plus Pro,Hottechi,Won,8/24/2017,5271
Anna Snelling,MG Special,Globex Corporation,Won,8/28/2017,64
Anna Snelling,MG Special,Stanredtax,Won,8/28/2017,54
Anna Snelling,GTX Basic,Domzoom,Won,8/28/2017,522
Anna Snelling,MG Special,Rundofase,Won,8/29/2017,61
Anna Snelling,MG Special,Treequote,Won,8/29/2017,53
Anna Snelling,GTX Plus Basic,Statholdings,Won,8/31/2017,996
Anna Snelling,GTX Basic,Conecom,Won,9/3/2017,576
Anna Snelling,GTX Basic,Cancity,Won,9/5/2017,597
Anna Snelling,MG Advanced,Codehow,Won,9/6/2017,3571
Anna Snelling,MG Special,Bioholding,Won,9/6/2017,64
Anna Snelling,MG Special,Statholdings,Won,9/8/2017,55
Anna Snelling,GTX Basic,Genco Pura Olive Oil Company,Won,9/11/2017,631
Anna Snelling,GTX Plus Pro,Stanredtax,Won,9/12/2017,6250
Anna Snelling,MG Special,Rangreen,Won,9/13/2017,49
Anna Snelling,MG Special,Dontechi,Won,9/13/2017,59
Anna Snelling,MG Special,Streethex,Won,9/15/2017,51
Anna Snelling,GTX Basic,Genco Pura Olive Oil Company,Won,9/16/2017,460
Anna Snelling,GTX Plus Pro,Rundofase,Won,9/17/2017,5373
Anna Snelling,GTX Plus Pro,Stanredtax,Won,9/18/2017,5421
Anna Snelling,MG Special,Statholdings,Won,9/23/2017,55
Anna Snelling,GTX Plus Pro,Funholding,Won,9/24/2017,5600
Anna Snelling,MG Special,Genco Pura Olive Oil Company,Won,9/25/2017,64
Anna Snelling,MG Special,Streethex,Won,9/27/2017,55
Anna Snelling,GTX Basic,Betatech,Won,9/27/2017,560
Anna Snelling,MG Special,Toughzap,Won,9/30/2017,66
Anna Snelling,GTX Plus Basic,Gogozoom,Won,10/11/2017,1166
Anna Snelling,GTX Plus Pro,Streethex,Won,10/13/2017,5349
Anna Snelling,MG Advanced,Scottech,Won,10/16/2017,3434
Anna Snelling,MG Advanced,Ron-tech,Won,10/20/2017,3100
Anna Snelling,MG Special,dambase,Won,10/23/2017,55
Anna Snelling,GTX Plus Basic,Domzoom,Won,10/27/2017,1103
Anna Snelling,MG Special,dambase,Won,10/29/2017,66
Anna Snelling,GTX Plus Basic,Hottechi,Won,10/30/2017,1089
Anna Snelling,MG Special,Gogozoom,Won,10/30/2017,54
Anna Snelling,MG Special,Streethex,Won,11/2/2017,50
Anna Snelling,GTX Plus Pro,Bioholding,Won,11/2/2017,6659
Anna Snelling,MG Special,Domzoom,Won,11/3/2017,54
Anna Snelling,MG Special,Stanredtax,Won,11/3/2017,67
Anna Snelling,MG Special,Globex Corporation,Won,11/3/2017,54
Anna Snelling,MG Special,Globex Corporation,Won,11/5/2017,57
Anna Snelling,MG Special,Gogozoom,Won,11/6/2017,55
Anna Snelling,MG Special,Streethex,Won,11/7/2017,65
Anna Snelling,MG Special,Treequote,Won,11/8/2017,58
Anna Snelling,GTX Basic,Betatech,Won,11/9/2017,480
Anna Snelling,GTX Plus Basic,Streethex,Won,11/13/2017,1060
Anna Snelling,MG Special,Condax,Won,11/14/2017,58
Anna Snelling,MG Special,Condax,Won,11/14/2017,53
Anna Snelling,GTX Plus Pro,Treequote,Won,11/15/2017,5276
Anna Snelling,MG Special,Cancity,Won,11/17/2017,44
Anna Snelling,MG Special,Inity,Won,11/21/2017,58
Anna Snelling,MG Special,Scottech,Won,11/21/2017,58
Anna Snelling,GTX Plus Pro,Hottechi,Won,11/22/2017,5468
Anna Snelling,GTX Basic,Zumgoity,Won,11/24/2017,594
Anna Snelling,GTX Basic,Cancity,Won,11/25/2017,629
Anna Snelling,MG Special,Cancity,Won,11/26/2017,59
Anna Snelling,MG Special,Rundofase,Won,11/29/2017,52
Anna Snelling,MG Special,Streethex,Won,12/2/2017,53
Anna Snelling,MG Special,Gogozoom,Won,12/3/2017,44
Anna Snelling,GTX Basic,Stanredtax,Won,12/3/2017,514
Anna Snelling,MG Special,Ron-tech,Won,12/7/2017,65
Anna Snelling,GTX Plus Pro,Rundofase,Won,12/7/2017,5269
Anna Snelling,MG Advanced,dambase,Won,12/7/2017,3844
Anna Snelling,GTX Plus Basic,Ron-tech,Won,12/12/2017,1249
Anna Snelling,MG Special,Stanredtax,Won,12/13/2017,57
Anna Snelling,MG Special,Hottechi,Won,12/13/2017,57
Anna Snelling,MG Special,Statholdings,Won,12/14/2017,56
Anna Snelling,MG Special,Gogozoom,Won,12/16/2017,59
Anna Snelling,GTX Plus Pro,Codehow,Won,12/16/2017,5543
Anna Snelling,MG Special,Codehow,Won,12/18/2017,53
Anna Snelling,MG Special,Cancity,Won,12/18/2017,60
Anna Snelling,GTX Plus Basic,Condax,Won,12/22/2017,1243
Anna Snelling,GTX Plus Basic,Warephase,Won,12/26/2017,1118
Anna Snelling,GTX Plus Basic,dambase,Won,12/26/2017,866
Anna Snelling,GTX Basic,Hottechi,Won,12/26/2017,543
Anna Snelling,MG Advanced,Domzoom,Won,12/26/2017,3240
Anna Snelling,MG Special,Finhigh,Won,12/28/2017,57
Anna Snelling,MG Advanced,Genco Pura Olive Oil Company,Won,12/28/2017,2477
Anna Snelling,GTX Basic,Codehow,Won,12/28/2017,537
Anna Snelling,MG Special,Streethex,Won,12/30/2017,58
Anna Snelling,GTX Plus Pro,Treequote,Won,12/30/2017,6038
Anna Snelling,MG Advanced,Hottechi,Won,12/31/2017,3300
Anna Snelling,MG Special,Rundofase,Won,12/31/2017,54
Boris Faz,GTX Plus Basic,Kan-code,Won,3/10/2017,1053
Boris Faz,GTX Plus Pro,Mathtouch,Won,3/13/2017,4766
Boris Faz,MG Advanced,Donquadtech,Won,3/14/2017,3677
Boris Faz,GTX Plus Basic,Kinnamplus,Won,3/18/2017,1001
Boris Faz,GTX Plus Pro,Donquadtech,Won,3/19/2017,5743
Boris Faz,GTXPro,Opentech,Won,3/23/2017,4704
Boris Faz,GTX Plus Basic,Iselectrics,Won,3/25/2017,1073
Boris Faz,MG Advanced,Vehement Capital Partners,Won,4/1/2017,2819
Boris Faz,GTX Plus Basic,Betasoloin,Won,4/3/2017,992
Boris Faz,MG Advanced,Donquadtech,Won,4/9/2017,3259
Boris Faz,GTX Plus Basic,Ontomedia,Won,4/14/2017,1088
Boris Faz,MG Special,Zotware,Won,4/15/2017,59
Boris Faz,MG Advanced,Konex,Won,4/22/2017,3223
Boris Faz,GTX Plus Pro,Iselectrics,Won,4/24/2017,5293
Boris Faz,GTX Basic,Zencorporation,Won,4/27/2017,560
Boris Faz,GTX Plus Basic,Gekko & Co,Won,4/29/2017,1080
Boris Faz,GTX Basic,Konex,Won,4/29/2017,584
Boris Faz,GTX Basic,Zencorporation,Won,5/2/2017,550
Boris Faz,GTX Plus Pro,Acme Corporation,Won,5/11/2017,5772
Boris Faz,MG Special,Betasoloin,Won,5/12/2017,53
Boris Faz,GTX Basic,Umbrella Corporation,Won,5/13/2017,511
Boris Faz,GTX Basic,Kan-code,Won,5/18/2017,522
Boris Faz,GTX Plus Pro,Betasoloin,Won,5/20/2017,5479
Boris Faz,MG Advanced,Acme Corporation,Won,5/22/2017,3370
Boris Faz,MG Special,Zathunicon,Won,5/24/2017,42
Boris Faz,GTX Basic,Zencorporation,Won,5/27/2017,529
Boris Faz,MG Advanced,Massive Dynamic,Won,6/1/2017,2677
Boris Faz,GTX Plus Basic,Konex,Won,6/3/2017,1121
Boris Faz,GTXPro,Donquadtech,Won,6/6/2017,5223
Boris Faz,GTX Plus Pro,Donquadtech,Won,6/8/2017,6173
Boris Faz,GTX Plus Basic,Zotware,Won,6/8/2017,940
Boris Faz,GTX Plus Basic,Gekko & Co,Won,6/11/2017,1075
Boris Faz,GTX Basic,Kan-code,Won,6/12/2017,564
Boris Faz,MG Special,Silis,Won,6/16/2017,55
Boris Faz,MG Advanced,Umbrella Corporation,Won,6/24/2017,3681
Boris Faz,GTX Plus Pro,Zotware,Won,6/28/2017,6040
Boris Faz,GTX Plus Basic,Yearin,Won,7/2/2017,1167
Boris Faz,GTX Plus Pro,Yearin,Won,7/4/2017,5201
Boris Faz,GTX Basic,Betasoloin,Won,7/9/2017,574
Boris Faz,GTX Basic,Zathunicon,Won,7/16/2017,457
Boris Faz,GTX Plus Basic,Silis,Won,7/21/2017,1063
Boris Faz,MG Advanced,Kan-code,Won,7/23/2017,3420
Boris Faz,MG Special,Iselectrics,Won,8/1/2017,48
Boris Faz,MG Advanced,Zotware,Won,8/4/2017,3138
Boris Faz,GTX Plus Basic,Plussunin,Won,8/4/2017,1302
Boris Faz,MG Special,Ontomedia,Won,8/9/2017,53
Boris Faz,GTX Plus Basic,Zathunicon,Won,8/10/2017,1354
Boris Faz,GTX Plus Basic,Gekko & Co,Won,8/22/2017,938
Boris Faz,GTX Plus Basic,Donware,Won,8/22/2017,1171
Boris Faz,MG Special,Bioplex,Won,8/23/2017,49
Boris Faz,GTX Plus Pro,Konex,Won,8/25/2017,5747
Boris Faz,GTXPro,Massive Dynamic,Won,8/26/2017,5833
Boris Faz,GTXPro,Zotware,Won,9/4/2017,4023
Boris Faz,GTX Plus Basic,Bluth Company,Won,9/5/2017,1239
Boris Faz,GTX Plus Basic,Ontomedia,Won,9/5/2017,1022
Boris Faz,GTX Plus Pro,Yearin,Won,9/7/2017,6117
Boris Faz,GTXPro,Bluth Company,Won,9/11/2017,4096
Boris Faz,GTX Plus Pro,Zencorporation,Won,9/13/2017,5714
Boris Faz,GTX Plus Pro,Kinnamplus,Won,9/13/2017,4954
Boris Faz,GTXPro,Mathtouch,Won,9/14/2017,3834
Boris Faz,GTX Plus Basic,Zotware,Won,9/14/2017,1114
Boris Faz,GTX Basic,Silis,Won,9/15/2017,561
Boris Faz,MG Advanced,Mathtouch,Won,9/18/2017,3830
Boris Faz,GTX Plus Basic,Yearin,Won,9/20/2017,1029
Boris Faz,GTXPro,Gekko & Co,Won,9/21/2017,5301
Boris Faz,GTXPro,Mathtouch,Won,9/22/2017,4609
Boris Faz,GTX Plus Basic,Plussunin,Won,9/28/2017,1100
Boris Faz,GTXPro,Xx-zobam,Won,10/7/2017,4401
Boris Faz,MG Special,Bubba Gump,Won,10/11/2017,54
Boris Faz,GTXPro,Umbrella Corporation,Won,10/14/2017,4605
Boris Faz,GTX Plus Basic,Ganjaflex,Won,10/21/2017,1066
Boris Faz,GTXPro,Bioplex,Won,10/28/2017,5275
Boris Faz,MG Advanced,Condax,Won,11/7/2017,4172
Boris Faz,GTXPro,Donquadtech,Won,11/7/2017,4155
Boris Faz,GTX Plus Basic,Donware,Won,11/11/2017,973
Boris Faz,GTX Plus Basic,Umbrella Corporation,Won,11/19/2017,1148
Boris Faz,GTXPro,Gekko & Co,Won,11/20/2017,4197
Boris Faz,GTX Plus Basic,Mathtouch,Won,11/20/2017,886
Boris Faz,MG Advanced,Konex,Won,11/21/2017,3264
Boris Faz,GTX Basic,Zotware,Won,11/24/2017,493
Boris Faz,MG Special,Kinnamplus,Won,11/25/2017,57
Boris Faz,GTXPro,Kan-code,Won,11/26/2017,4732
Boris Faz,GTX Plus Pro,Mathtouch,Won,12/3/2017,5703
Boris Faz,GTX Plus Basic,Sumace,Won,12/3/2017,1106
Boris Faz,GTX Basic,Silis,Won,12/5/2017,541
Boris Faz,GTXPro,Sumace,Won,12/7/2017,4645
Boris Faz,GTX Plus Pro,Zotware,Won,12/7/2017,5172
Boris Faz,GTX Plus Pro,Plussunin,Won,12/8/2017,5737
Boris Faz,GTXPro,Zotware,Won,12/12/2017,4125
Boris Faz,GTX Basic,Konex,Won,12/14/2017,492
Boris Faz,GTX Plus Basic,Zotware,Won,12/17/2017,1259
Boris Faz,GTX Plus Basic,Gekko & Co,Won,12/20/2017,1184
Boris Faz,GTX Basic,Condax,Won,12/21/2017,489
Boris Faz,GTXPro,Ganjaflex,Won,12/21/2017,5052
Boris Faz,GTX Basic,Betasoloin,Won,12/26/2017,563
Boris Faz,GTX Basic,Condax,Won,12/27/2017,505
Boris Faz,GTX Plus Basic,Konex,Won,12/30/2017,1140
Boris Faz,GTX Plus Pro,Donquadtech,Won,12/30/2017,6406
Boris Faz,GTX Basic,Zathunicon,Won,12/30/2017,546
Boris Faz,GTX Plus Pro,Ganjaflex,Won,12/30/2017,5610
Boris Faz,GTX Plus Pro,Zotware,Won,12/30/2017,6469
Cassey Cress,MG Advanced,Umbrella Corporation,Won,3/1/2017,4200
Cassey Cress,GTX Plus Basic,Yearin,Won,3/2/2017,1011
Cassey Cress,GTXPro,Sumace,Won,3/2/2017,4711
Cassey Cress,MG Special,Mathtouch,Won,3/3/2017,53
Cassey Cress,GTXPro,Kan-code,Won,3/4/2017,4705
Cassey Cress,GTX Plus Basic,Gekko & Co,Won,3/7/2017,1152
Cassey Cress,GTXPro,Ontomedia,Won,3/8/2017,5040
Cassey Cress,MG Advanced,Donware,Won,3/12/2017,3479
Cassey Cress,GTX Basic,Massive Dynamic,Won,3/12/2017,572
Cassey Cress,GTX Basic,Bubba Gump,Won,3/14/2017,549
Cassey Cress,MG Advanced,Zotware,Won,3/15/2017,3665
Cassey Cress,GTXPro,Donquadtech,Won,3/15/2017,5068
Cassey Cress,MG Advanced,Kan-code,Won,3/17/2017,2923
Cassey Cress,GTX Plus Pro,Umbrella Corporation,Won,3/18/2017,4701
Cassey Cress,GTXPro,Ontomedia,Won,3/20/2017,5021
Cassey Cress,MG Advanced,Gekko & Co,Won,3/21/2017,3503
Cassey Cress,MG Advanced,Initech,Won,3/22/2017,3463
Cassey Cress,GTX Plus Basic,Acme Corporation,Won,3/24/2017,1161
Cassey Cress,GTX Plus Basic,Ganjaflex,Won,3/27/2017,1186
Cassey Cress,GTX Basic,Betasoloin,Won,3/27/2017,493
Cassey Cress,GTXPro,Umbrella Corporation,Won,3/28/2017,4975
Cassey Cress,GTX Plus Pro,Ontomedia,Won,3/30/2017,5425
Cassey Cress,GTX Basic,Umbrella Corporation,Won,3/31/2017,538
Cassey Cress,GTX Basic,Kan-code,Won,4/1/2017,585
Cassey Cress,GTXPro,The New York Inquirer,Won,4/6/2017,4276
Cassey Cress,MG Advanced,Silis,Won,4/7/2017,3390
Cassey Cress,GTX Plus Basic,Gekko & Co,Won,4/14/2017,1114
Cassey Cress,MG Advanced,Initech,Won,4/16/2017,3275
Cassey Cress,GTX Basic,Zathunicon,Won,4/19/2017,553
Cassey Cress,GTX Basic,Konex,Won,4/20/2017,598
Cassey Cress,MG Special,Donquadtech,Won,4/22/2017,59
Cassey Cress,GTXPro,Plussunin,Won,4/25/2017,5091
Cassey Cress,GTXPro,Zencorporation,Won,4/27/2017,4852
Cassey Cress,GTXPro,The New York Inquirer,Won,4/28/2017,4891
Cassey Cress,GTX Basic,Plussunin,Won,5/1/2017,623
Cassey Cress,GTXPro,Bioplex,Won,5/8/2017,4942
Cassey Cress,MG Advanced,Donquadtech,Won,5/10/2017,3844
Cassey Cress,GTX Plus Pro,Vehement Capital Partners,Won,5/13/2017,6117
Cassey Cress,GTX Basic,Sumace,Won,5/16/2017,629
Cassey Cress,GTXPro,Bluth Company,Won,5/17/2017,4519
Cassey Cress,GTX Basic,Vehement Capital Partners,Won,5/17/2017,491
Cassey Cress,GTX Plus Basic,Initech,Won,5/17/2017,1372
Cassey Cress,GTXPro,Betasoloin,Won,5/18/2017,4497
Cassey Cress,GTX Plus Basic,Bubba Gump,Won,5/20/2017,997
Cassey Cress,MG Advanced,Bubba Gump,Won,5/21/2017,4287
Cassey Cress,MG Advanced,Vehement Capital Partners,Won,5/22/2017,3087
Cassey Cress,GTX Basic,Zotware,Won,5/22/2017,586
Cassey Cress,GTXPro,Sumace,Won,5/23/2017,3717
Cassey Cress,GTXPro,Sumace,Won,5/24/2017,4839
Cassey Cress,GTXPro,Kan-code,Won,5/25/2017,4624
Cassey Cress,MG Advanced,Donware,Won,5/25/2017,3822
Cassey Cress,GTX Basic,Plussunin,Won,5/30/2017,422
Cassey Cress,MG Advanced,Condax,Won,6/4/2017,3908
Cassey Cress,GTX Basic,Silis,Won,6/4/2017,477
Cassey Cress,GTX Plus Basic,Xx-zobam,Won,6/4/2017,1112
Cassey Cress,GTXPro,Vehement Capital Partners,Won,6/7/2017,4689
Cassey Cress,GTX Plus Pro,Ontomedia,Won,6/9/2017,5112
Cassey Cress,GTX Plus Pro,Opentech,Won,6/11/2017,5664
Cassey Cress,MG Advanced,Mathtouch,Won,6/13/2017,3600
Cassey Cress,MG Advanced,Iselectrics,Won,6/14/2017,3772
Cassey Cress,GTX Plus Pro,Plussunin,Won,6/15/2017,6509
Cassey Cress,MG Advanced,Umbrella Corporation,Won,6/15/2017,3986
Cassey Cress,GTX Basic,Plussunin,Won,6/17/2017,641
Cassey Cress,GTX Basic,Initech,Won,6/18/2017,542
Cassey Cress,GTX Basic,Plussunin,Won,6/18/2017,530
Cassey Cress,MG Advanced,Mathtouch,Won,6/19/2017,3424
Cassey Cress,GTX Plus Basic,Bluth Company,Won,6/27/2017,1078
Cassey Cress,MG Advanced,Bioplex,Won,6/27/2017,2993
Cassey Cress,MG Advanced,Sumace,Won,6/28/2017,2871
Cassey Cress,GTXPro,Massive Dynamic,Won,6/30/2017,4256
Cassey Cress,GTXPro,Yearin,Won,6/30/2017,5558
Cassey Cress,MG Special,Iselectrics,Won,7/3/2017,60
Cassey Cress,GTX Plus Pro,Zathunicon,Won,7/4/2017,5274
Cassey Cress,MG Advanced,The New York Inquirer,Won,7/6/2017,3508
Cassey Cress,GTX Plus Basic,Betasoloin,Won,7/14/2017,1109
Cassey Cress,GTX Plus Basic,Konex,Won,7/16/2017,861
Cassey Cress,GTX Plus Basic,Plussunin,Won,7/20/2017,1202
Cassey Cress,MG Advanced,Initech,Won,7/23/2017,3684
Cassey Cress,GTXPro,Acme Corporation,Won,7/28/2017,5318
Cassey Cress,MG Advanced,Opentech,Won,7/28/2017,3407
Cassey Cress,GTX Plus Basic,Massive Dynamic,Won,7/29/2017,1311
Cassey Cress,GTX Basic,Donware,Won,7/30/2017,494
Cassey Cress,GTXPro,Massive Dynamic,Won,8/2/2017,4873
Cassey Cress,MG Advanced,Gekko & Co,Won,8/4/2017,3808
Cassey Cress,GTX Plus Pro,Massive Dynamic,Won,8/4/2017,4598
Cassey Cress,GTXPro,Donquadtech,Won,8/5/2017,4697
Cassey Cress,MG Advanced,Initech,Won,8/9/2017,3042
Cassey Cress,MG Advanced,Kinnamplus,Won,8/9/2017,3156
Cassey Cress,GTX Plus Basic,Acme Corporation,Won,8/10/2017,1161
Cassey Cress,GTXPro,Kan-code,Won,8/17/2017,4294
Cassey Cress,GTX Plus Basic,Betasoloin,Won,8/19/2017,1131
Cassey Cress,GTX Plus Basic,Bubba Gump,Won,8/21/2017,1033
Cassey Cress,GTX Basic,Bubba Gump,Won,8/21/2017,511
Cassey Cress,GTX Plus Basic,Zotware,Won,8/22/2017,1176
Cassey Cress,GTX Basic,Gekko & Co,Won,8/25/2017,552
Cassey Cress,GTXPro,Vehement Capital Partners,Won,8/27/2017,4994
Cassey Cress,GTX Basic,Xx-zobam,Won,8/27/2017,582
Cassey Cress,GTX Plus Basic,Kan-code,Won,8/30/2017,907
Cassey Cress,MG Special,Opentech,Won,8/31/2017,59
Cassey Cress,GTXPro,The New York Inquirer,Won,9/1/2017,5857
Cassey Cress,GTX Plus Pro,Plussunin,Won,9/1/2017,4791
Cassey Cress,GTXPro,Ganjaflex,Won,9/2/2017,4958
Cassey Cress,GTX Plus Basic,Yearin,Won,9/5/2017,904
