sales_agent,product,account,close_date,close_value,regional_office
Anna Snelling,MG Special,Ron-tech,4/25/2017,62,Central
Anna Snelling,MG Special,Warephase,4/26/2017,52,Central
Anna Snelling,MG Special,Conecom,4/27/2017,56,Central
Anna Snelling,GTX Plus Basic,Hottechi,5/2/2017,1089,Central
Anna Snelling,GTX Basic,Inity,5/2/2017,550,Central
Anna Snelling,MG Special,Cancity,5/4/2017,55,Central
Anna Snelling,GTX Basic,Hottechi,5/5/2017,518,Central
Anna Snelling,GTX Plus Pro,Treequote,5/8/2017,5883,Central
Anna Snelling,GTX Plus Basic,Inity,5/9/2017,1140,Central
Anna Snelling,GTX Plus Pro,Dontechi,5/9/2017,4784,Central
Anna Snelling,GTX Plus Basic,Conecom,5/11/2017,1300,Central
Anna Snelling,GTX Basic,Rangreen,5/14/2017,544,Central
Anna Snelling,GTX Plus Basic,Scottech,5/15/2017,918,Central
Anna Snelling,MG Special,Scottech,5/19/2017,56,Central
Anna Snelling,MG Special,Rundofase,5/22/2017,50,Central
Anna Snelling,MG Special,Globex Corporation,5/23/2017,46,Central
Anna Snelling,MG Special,Condax,5/25/2017,52,Central
Anna Snelling,MG Special,Streethex,5/25/2017,52,Central
Anna Snelling,MG Special,Dontechi,5/26/2017,52,Central
Anna Snelling,MG Special,Conecom,5/28/2017,51,Central
Anna Snelling,GTX Plus Pro,Toughzap,5/29/2017,5092,Central
Anna Snelling,MG Special,Domzoom,5/30/2017,63,Central
Anna Snelling,MG Special,Ron-tech,5/30/2017,52,Central
Anna Snelling,GTX Plus Basic,Finhigh,6/1/2017,1216,Central
Anna Snelling,MG Special,Zumgoity,6/1/2017,51,Central
Anna Snelling,MG Advanced,Betatech,6/2/2017,3666,Central
Anna Snelling,MG Special,Ron-tech,6/2/2017,58,Central
Anna Snelling,GTX Basic,dambase,6/4/2017,574,Central
Anna Snelling,MG Special,Domzoom,6/4/2017,54,Central
Anna Snelling,MG Special,Scottech,6/6/2017,56,Central
Anna Snelling,MG Special,Rundofase,6/7/2017,59,Central
Anna Snelling,MG Advanced,Genco Pura Olive Oil Company,6/7/2017,3081,Central
Anna Snelling,MG Special,Warephase,6/8/2017,52,Central
Anna Snelling,GTX Basic,Isdom,6/8/2017,523,Central
Anna Snelling,GTX Basic,Dontechi,6/9/2017,527,Central
Anna Snelling,MG Special,Konmatfix,6/9/2017,52,Central
Anna Snelling,GTX Plus Basic,Conecom,6/10/2017,1056,Central
Anna Snelling,GTX Plus Pro,Globex Corporation,6/11/2017,6023,Central
Anna Snelling,GTX Basic,Streethex,6/11/2017,595,Central
Anna Snelling,GTX Basic,Genco Pura Olive Oil Company,6/11/2017,497,Central
Anna Snelling,MG Special,Hottechi,6/11/2017,63,Central
Anna Snelling,GTX Plus Pro,Betatech,6/12/2017,5370,Central
Anna Snelling,GTX Basic,Codehow,6/13/2017,522,Central
Anna Snelling,MG Special,Condax,6/15/2017,58,Central
Anna Snelling,GTX Plus Basic,Rangreen,6/16/2017,1037,Central
Anna Snelling,GTX Basic,Streethex,6/20/2017,460,Central
Anna Snelling,MG Special,Condax,6/20/2017,54,Central
Anna Snelling,MG Special,Rundofase,6/22/2017,54,Central
Anna Snelling,GTX Basic,dambase,6/23/2017,626,Central
Anna Snelling,MG Advanced,Rangreen,6/23/2017,3813,Central
Anna Snelling,MG Special,Globex Corporation,6/23/2017,55,Central
Anna Snelling,MG Special,Isdom,6/24/2017,58,Central
Anna Snelling,MG Advanced,Hottechi,6/26/2017,3415,Central
Anna Snelling,GTX Basic,Rangreen,6/27/2017,524,Central
Anna Snelling,MG Special,Bioholding,6/27/2017,63,Central
Anna Snelling,GTX Plus Basic,dambase,6/28/2017,1041,Central
Anna Snelling,GTX Plus Basic,Hottechi,6/30/2017,1073,Central
Anna Snelling,MG Special,Stanredtax,7/2/2017,64,Central
Anna Snelling,GTX Plus Basic,Warephase,7/6/2017,991,Central
Anna Snelling,MG Special,Dontechi,7/6/2017,56,Central
Anna Snelling,GTX Plus Basic,Statholdings,7/9/2017,1180,Central
Anna Snelling,GTX Plus Basic,Betatech,7/10/2017,1047,Central
Anna Snelling,GTX Plus Basic,Domzoom,7/17/2017,962,Central
Anna Snelling,MG Special,Treequote,7/17/2017,44,Central
Anna Snelling,GTX Plus Basic,Ron-tech,7/21/2017,1160,Central
Anna Snelling,MG Special,Rangreen,7/25/2017,59,Central
Anna Snelling,MG Special,Betatech,7/25/2017,53,Central
Anna Snelling,MG Special,Condax,7/27/2017,54,Central
Anna Snelling,GTX Plus Pro,Bioholding,7/29/2017,5068,Central
Anna Snelling,MG Special,Globex Corporation,7/29/2017,46,Central
Anna Snelling,MG Special,Codehow,8/1/2017,53,Central
Anna Snelling,GTX Basic,Finhigh,8/3/2017,489,Central
Anna Snelling,MG Advanced,Ron-tech,8/3/2017,3031,Central
Anna Snelling,MG Special,Isdom,8/4/2017,59,Central
Anna Snelling,MG Special,Funholding,8/4/2017,54,Central
Anna Snelling,GTX Plus Pro,Isdom,8/5/2017,4603,Central
Anna Snelling,GTX Basic,Bioholding,8/11/2017,475,Central
Anna Snelling,MG Advanced,Rangreen,8/14/2017,3334,Central
Anna Snelling,MG Advanced,Isdom,8/15/2017,3470,Central
Anna Snelling,MG Advanced,Konmatfix,8/16/2017,3452,Central
Anna Snelling,MG Special,Cancity,8/16/2017,52,Central
Anna Snelling,MG Special,dambase,8/18/2017,53,Central
Anna Snelling,MG Special,Dontechi,8/18/2017,46,Central
Anna Snelling,MG Special,Warephase,8/20/2017,61,Central
Anna Snelling,MG Special,Stanredtax,8/21/2017,57,Central
Anna Snelling,GTX Plus Pro,Stanredtax,8/23/2017,5847,Central
Anna Snelling,GTX Plus Pro,Hottechi,8/24/2017,5271,Central
Anna Snelling,MG Special,Globex Corporation,8/28/2017,64,Central
Anna Snelling,MG Special,Stanredtax,8/28/2017,54,Central
Anna Snelling,GTX Basic,Domzoom,8/28/2017,522,Central
Anna Snelling,MG Special,Rundofase,8/29/2017,61,Central
Anna Snelling,MG Special,Treequote,8/29/2017,53,Central
Anna Snelling,GTX Plus Basic,Statholdings,8/31/2017,996,Central
Anna Snelling,GTX Basic,Conecom,9/3/2017,576,Central
Anna Snelling,GTX Basic,Cancity,9/5/2017,597,Central
Anna Snelling,MG Advanced,Codehow,9/6/2017,3571,Central
Anna Snelling,MG Special,Bioholding,9/6/2017,64,Central
Anna Snelling,MG Special,Statholdings,9/8/2017,55,Central
Anna Snelling,GTX Basic,Genco Pura Olive Oil Company,9/11/2017,631,Central
Anna Snelling,GTX Plus Pro,Stanredtax,9/12/2017,6250,Central
Anna Snelling,MG Special,Rangreen,9/13/2017,49,Central
Anna Snelling,MG Special,Dontechi,9/13/2017,59,Central
Anna Snelling,MG Special,Streethex,9/15/2017,51,Central
Anna Snelling,GTX Basic,Genco Pura Olive Oil Company,9/16/2017,460,Central
Anna Snelling,GTX Plus Pro,Rundofase,9/17/2017,5373,Central
Anna Snelling,GTX Plus Pro,Stanredtax,9/18/2017,5421,Central
Anna Snelling,MG Special,Statholdings,9/23/2017,55,Central
Anna Snelling,GTX Plus Pro,Funholding,9/24/2017,5600,Central
Anna Snelling,MG Special,Genco Pura Olive Oil Company,9/25/2017,64,Central
Anna Snelling,MG Special,Streethex,9/27/2017,55,Central
Anna Snelling,GTX Basic,Betatech,9/27/2017,560,Central
Anna Snelling,MG Special,Toughzap,9/30/2017,66,Central
Anna Snelling,GTX Plus Basic,Gogozoom,10/11/2017,1166,Central
Anna Snelling,GTX Plus Pro,Streethex,10/13/2017,5349,Central
Anna Snelling,MG Advanced,Scottech,10/16/2017,3434,Central
Anna Snelling,MG Advanced,Ron-tech,10/20/2017,3100,Central
Anna Snelling,MG Special,dambase,10/23/2017,55,Central
Anna Snelling,GTX Plus Basic,Domzoom,10/27/2017,1103,Central
Anna Snelling,MG Special,dambase,10/29/2017,66,Central
Anna Snelling,GTX Plus Basic,Hottechi,10/30/2017,1089,Central
Anna Snelling,MG Special,Gogozoom,10/30/2017,54,Central
Anna Snelling,MG Special,Streethex,11/2/2017,50,Central
Anna Snelling,GTX Plus Pro,Bioholding,11/2/2017,6659,Central
Anna Snelling,MG Special,Domzoom,11/3/2017,54,Central
Anna Snelling,MG Special,Stanredtax,11/3/2017,67,Central
Anna Snelling,MG Special,Globex Corporation,11/3/2017,54,Central
Anna Snelling,MG Special,Globex Corporation,11/5/2017,57,Central
Anna Snelling,MG Special,Gogozoom,11/6/2017,55,Central
Anna Snelling,MG Special,Streethex,11/7/2017,65,Central
Anna Snelling,MG Special,Treequote,11/8/2017,58,Central
Anna Snelling,GTX Basic,Betatech,11/9/2017,480,Central
Anna Snelling,GTX Plus Basic,Streethex,11/13/2017,1060,Central
Anna Snelling,MG Special,Condax,11/14/2017,58,Central
Anna Snelling,MG Special,Condax,11/14/2017,53,Central
Anna Snelling,GTX Plus Pro,Treequote,11/15/2017,5276,Central
Anna Snelling,MG Special,Cancity,11/17/2017,44,Central
Anna Snelling,MG Special,Inity,11/21/2017,58,Central
Anna Snelling,MG Special,Scottech,11/21/2017,58,Central
Anna Snelling,GTX Plus Pro,Hottechi,11/22/2017,5468,Central
Anna Snelling,GTX Basic,Zumgoity,11/24/2017,594,Central
Anna Snelling,GTX Basic,Cancity,11/25/2017,629,Central
Anna Snelling,MG Special,Cancity,11/26/2017,59,Central
Anna Snelling,MG Special,Rundofase,11/29/2017,52,Central
Anna Snelling,MG Special,Streethex,12/2/2017,53,Central
Anna Snelling,MG Special,Gogozoom,12/3/2017,44,Central
Anna Snelling,GTX Basic,Stanredtax,12/3/2017,514,Central
Anna Snelling,MG Special,Ron-tech,12/7/2017,65,Central
Anna Snelling,GTX Plus Pro,Rundofase,12/7/2017,5269,Central
Anna Snelling,MG Advanced,dambase,12/7/2017,3844,Central
Anna Snelling,GTX Plus Basic,Ron-tech,12/12/2017,1249,Central
Anna Snelling,MG Special,Stanredtax,12/13/2017,57,Central
Anna Snelling,MG Special,Hottechi,12/13/2017,57,Central
Anna Snelling,MG Special,Statholdings,12/14/2017,56,Central
Anna Snelling,MG Special,Gogozoom,12/16/2017,59,Central
Anna Snelling,GTX Plus Pro,Codehow,12/16/2017,5543,Central
Anna Snelling,MG Special,Codehow,12/18/2017,53,Central
Anna Snelling,MG Special,Cancity,12/18/2017,60,Central
Anna Snelling,GTX Plus Basic,Condax,12/22/2017,1243,Central
Anna Snelling,GTX Plus Basic,Warephase,12/26/2017,1118,Central
Anna Snelling,GTX Plus Basic,dambase,12/26/2017,866,Central
Anna Snelling,GTX Basic,Hottechi,12/26/2017,543,Central
Anna Snelling,MG Advanced,Domzoom,12/26/2017,3240,Central
Anna Snelling,MG Special,Finhigh,12/28/2017,57,Central
Anna Snelling,MG Advanced,Genco Pura Olive Oil Company,12/28/2017,2477,Central
Anna Snelling,GTX Basic,Codehow,12/28/2017,537,Central
Anna Snelling,MG Special,Streethex,12/30/2017,58,Central
Anna Snelling,GTX Plus Pro,Treequote,12/30/2017,6038,Central
Anna Snelling,MG Advanced,Hottechi,12/31/2017,3300,Central
Anna Snelling,MG Special,Rundofase,12/31/2017,54,Central
Boris Faz,GTX Plus Basic,Kan-code,3/10/2017,1053,East
Boris Faz,GTX Plus Pro,Mathtouch,3/13/2017,4766,East
Boris Faz,MG Advanced,Donquadtech,3/14/2017,3677,East
Boris Faz,GTX Plus Basic,Kinnamplus,3/18/2017,1001,East
Boris Faz,GTX Plus Pro,Donquadtech,3/19/2017,5743,East
Boris Faz,GTXPro,Opentech,3/23/2017,4704,East
Boris Faz,GTX Plus Basic,Iselectrics,3/25/2017,1073,East
Boris Faz,MG Advanced,Vehement Capital Partners,4/1/2017,2819,East
Boris Faz,GTX Plus Basic,Betasoloin,4/3/2017,992,East
Boris Faz,MG Advanced,Donquadtech,4/9/2017,3259,East
Boris Faz,GTX Plus Basic,Ontomedia,4/14/2017,1088,East
Boris Faz,MG Special,Zotware,4/15/2017,59,East
Boris Faz,MG Advanced,Konex,4/22/2017,3223,East
Boris Faz,GTX Plus Pro,Iselectrics,4/24/2017,5293,East
Boris Faz,GTX Basic,Zencorporation,4/27/2017,560,East
Boris Faz,GTX Plus Basic,Gekko & Co,4/29/2017,1080,East
Boris Faz,GTX Basic,Konex,4/29/2017,584,East
Boris Faz,GTX Basic,Zencorporation,5/2/2017,550,East
Boris Faz,GTX Plus Pro,Acme Corporation,5/11/2017,5772,East
Boris Faz,MG Special,Betasoloin,5/12/2017,53,East
Boris Faz,GTX Basic,Umbrella Corporation,5/13/2017,511,East
Boris Faz,GTX Basic,Kan-code,5/18/2017,522,East
Boris Faz,GTX Plus Pro,Betasoloin,5/20/2017,5479,East
Boris Faz,MG Advanced,Acme Corporation,5/22/2017,3370,East
Boris Faz,MG Special,Zathunicon,5/24/2017,42,East
Boris Faz,GTX Basic,Zencorporation,5/27/2017,529,East
Boris Faz,MG Advanced,Massive Dynamic,6/1/2017,2677,East
Boris Faz,GTX Plus Basic,Konex,6/3/2017,1121,East
Boris Faz,GTXPro,Donquadtech,6/6/2017,5223,East
Boris Faz,GTX Plus Pro,Donquadtech,6/8/2017,6173,East
Boris Faz,GTX Plus Basic,Zotware,6/8/2017,940,East
Boris Faz,GTX Plus Basic,Gekko & Co,6/11/2017,1075,East
Boris Faz,GTX Basic,Kan-code,6/12/2017,564,East
Boris Faz,MG Special,Silis,6/16/2017,55,East
Boris Faz,MG Advanced,Umbrella Corporation,6/24/2017,3681,East
Boris Faz,GTX Plus Pro,Zotware,6/28/2017,6040,East
Boris Faz,GTX Plus Basic,Yearin,7/2/2017,1167,East
Boris Faz,GTX Plus Pro,Yearin,7/4/2017,5201,East
Boris Faz,GTX Basic,Betasoloin,7/9/2017,574,East
Boris Faz,GTX Basic,Zathunicon,7/16/2017,457,East
Boris Faz,GTX Plus Basic,Silis,7/21/2017,1063,East
Boris Faz,MG Advanced,Kan-code,7/23/2017,3420,East
Boris Faz,MG Special,Iselectrics,8/1/2017,48,East
Boris Faz,MG Advanced,Zotware,8/4/2017,3138,East
Boris Faz,GTX Plus Basic,Plussunin,8/4/2017,1302,East
Boris Faz,MG Special,Ontomedia,8/9/2017,53,East
Boris Faz,GTX Plus Basic,Zathunicon,8/10/2017,1354,East
Boris Faz,GTX Plus Basic,Gekko & Co,8/22/2017,938,East
Boris Faz,GTX Plus Basic,Donware,8/22/2017,1171,East
Boris Faz,MG Special,Bioplex,8/23/2017,49,East
Boris Faz,GTX Plus Pro,Konex,8/25/2017,5747,East
Boris Faz,GTXPro,Massive Dynamic,8/26/2017,5833,East
Boris Faz,GTXPro,Zotware,9/4/2017,4023,East
Boris Faz,GTX Plus Basic,Bluth Company,9/5/2017,1239,East
Boris Faz,GTX Plus Basic,Ontomedia,9/5/2017,1022,East
Boris Faz,GTX Plus Pro,Yearin,9/7/2017,6117,East
Boris Faz,GTXPro,Bluth Company,9/11/2017,4096,East
Boris Faz,GTX Plus Pro,Zencorporation,9/13/2017,5714,East
Boris Faz,GTX Plus Pro,Kinnamplus,9/13/2017,4954,East
Boris Faz,GTXPro,Mathtouch,9/14/2017,3834,East
Boris Faz,GTX Plus Basic,Zotware,9/14/2017,1114,East
Boris Faz,GTX Basic,Silis,9/15/2017,561,East
Boris Faz,MG Advanced,Mathtouch,9/18/2017,3830,East
Boris Faz,GTX Plus Basic,Yearin,9/20/2017,1029,East
Boris Faz,GTXPro,Gekko & Co,9/21/2017,5301,East
Boris Faz,GTXPro,Mathtouch,9/22/2017,4609,East
Boris Faz,GTX Plus Basic,Plussunin,9/28/2017,1100,East
Boris Faz,GTXPro,Xx-zobam,10/7/2017,4401,East
Boris Faz,MG Special,Bubba Gump,10/11/2017,54,East
Boris Faz,GTXPro,Umbrella Corporation,10/14/2017,4605,East
Boris Faz,GTX Plus Basic,Ganjaflex,10/21/2017,1066,East
Boris Faz,GTXPro,Bioplex,10/28/2017,5275,East
Boris Faz,MG Advanced,Condax,11/7/2017,4172,East
Boris Faz,GTXPro,Donquadtech,11/7/2017,4155,East
Boris Faz,GTX Plus Basic,Donware,11/11/2017,973,East
Boris Faz,GTX Plus Basic,Umbrella Corporation,11/19/2017,1148,East
Boris Faz,GTXPro,Gekko & Co,11/20/2017,4197,East
Boris Faz,GTX Plus Basic,Mathtouch,11/20/2017,886,East
Boris Faz,MG Advanced,Konex,11/21/2017,3264,East
Boris Faz,GTX Basic,Zotware,11/24/2017,493,East
Boris Faz,MG Special,Kinnamplus,11/25/2017,57,East
Boris Faz,GTXPro,Kan-code,11/26/2017,4732,East
Boris Faz,GTX Plus Pro,Mathtouch,12/3/2017,5703,East
Boris Faz,GTX Plus Basic,Sumace,12/3/2017,1106,East
Boris Faz,GTX Basic,Silis,12/5/2017,541,East
Boris Faz,GTXPro,Sumace,12/7/2017,4645,East
Boris Faz,GTX Plus Pro,Zotware,12/7/2017,5172,East
Boris Faz,GTX Plus Pro,Plussunin,12/8/2017,5737,East
Boris Faz,GTXPro,Zotware,12/12/2017,4125,East
Boris Faz,GTX Basic,Konex,12/14/2017,492,East
Boris Faz,GTX Plus Basic,Zotware,12/17/2017,1259,East
Boris Faz,GTX Plus Basic,Gekko & Co,12/20/2017,1184,East
Boris Faz,GTX Basic,Condax,12/21/2017,489,East
Boris Faz,GTXPro,Ganjaflex,12/21/2017,5052,East
Boris Faz,GTX Basic,Betasoloin,12/26/2017,563,East
Boris Faz,GTX Basic,Condax,12/27/2017,505,East
Boris Faz,GTX Plus Basic,Konex,12/30/2017,1140,East
Boris Faz,GTX Plus Pro,Donquadtech,12/30/2017,6406,East
Boris Faz,GTX Basic,Zathunicon,12/30/2017,546,East
Boris Faz,GTX Plus Pro,Ganjaflex,12/30/2017,5610,East
Boris Faz,GTX Plus Pro,Zotware,12/30/2017,6469,East
Cassey Cress,MG Advanced,Umbrella Corporation,3/1/2017,4200,East
Cassey Cress,GTX Plus Basic,Yearin,3/2/2017,1011,East
Cassey Cress,GTXPro,Sumace,3/2/2017,4711,East
Cassey Cress,MG Special,Mathtouch,3/3/2017,53,East
Cassey Cress,GTXPro,Kan-code,3/4/2017,4705,East
Cassey Cress,GTX Plus Basic,Gekko & Co,3/7/2017,1152,East
Cassey Cress,GTXPro,Ontomedia,3/8/2017,5040,East
Cassey Cress,MG Advanced,Donware,3/12/2017,3479,East
Cassey Cress,GTX Basic,Massive Dynamic,3/12/2017,572,East
Cassey Cress,GTX Basic,Bubba Gump,3/14/2017,549,East
Cassey Cress,MG Advanced,Zotware,3/15/2017,3665,East
Cassey Cress,GTXPro,Donquadtech,3/15/2017,5068,East
Cassey Cress,MG Advanced,Kan-code,3/17/2017,2923,East
Cassey Cress,GTX Plus Pro,Umbrella Corporation,3/18/2017,4701,East
Cassey Cress,GTXPro,Ontomedia,3/20/2017,5021,East
Cassey Cress,MG Advanced,Gekko & Co,3/21/2017,3503,East
Cassey Cress,MG Advanced,Initech,3/22/2017,3463,East
Cassey Cress,GTX Plus Basic,Acme Corporation,3/24/2017,1161,East
Cassey Cress,GTX Plus Basic,Ganjaflex,3/27/2017,1186,East
Cassey Cress,GTX Basic,Betasoloin,3/27/2017,493,East
Cassey Cress,GTXPro,Umbrella Corporation,3/28/2017,4975,East
Cassey Cress,GTX Plus Pro,Ontomedia,3/30/2017,5425,East
Cassey Cress,GTX Basic,Umbrella Corporation,3/31/2017,538,East
Cassey Cress,GTX Basic,Kan-code,4/1/2017,585,East
Cassey Cress,GTXPro,The New York Inquirer,4/6/2017,4276,East
Cassey Cress,MG Advanced,Silis,4/7/2017,3390,East
Cassey Cress,GTX Plus Basic,Gekko & Co,4/14/2017,1114,East
Cassey Cress,MG Advanced,Initech,4/16/2017,3275,East
Cassey Cress,GTX Basic,Zathunicon,4/19/2017,553,East
Cassey Cress,GTX Basic,Konex,4/20/2017,598,East
Cassey Cress,MG Special,Donquadtech,4/22/2017,59,East
Cassey Cress,GTXPro,Plussunin,4/25/2017,5091,East
Cassey Cress,GTXPro,Zencorporation,4/27/2017,4852,East
Cassey Cress,GTXPro,The New York Inquirer,4/28/2017,4891,East
Cassey Cress,GTX Basic,Plussunin,5/1/2017,623,East
Cassey Cress,GTXPro,Bioplex,5/8/2017,4942,East
Cassey Cress,MG Advanced,Donquadtech,5/10/2017,3844,East
Cassey Cress,GTX Plus Pro,Vehement Capital Partners,5/13/2017,6117,East
Cassey Cress,GTX Basic,Sumace,5/16/2017,629,East
Cassey Cress,GTXPro,Bluth Company,5/17/2017,4519,East
Cassey Cress,GTX Basic,Vehement Capital Partners,5/17/2017,491,East
Cassey Cress,GTX Plus Basic,Initech,5/17/2017,1372,East
Cassey Cress,GTXPro,Betasoloin,5/18/2017,4497,East
Cassey Cress,GTX Plus Basic,Bubba Gump,5/20/2017,997,East
Cassey Cress,MG Advanced,Bubba Gump,5/21/2017,4287,East
Cassey Cress,MG Advanced,Vehement Capital Partners,5/22/2017,3087,East
Cassey Cress,GTX Basic,Zotware,5/22/2017,586,East
Cassey Cress,GTXPro,Sumace,5/23/2017,3717,East
Cassey Cress,GTXPro,Sumace,5/24/2017,4839,East
Cassey Cress,GTXPro,Kan-code,5/25/2017,4624,East
Cassey Cress,MG Advanced,Donware,5/25/2017,3822,East
Cassey Cress,GTX Basic,Plussunin,5/30/2017,422,East
Cassey Cress,MG Advanced,Condax,6/4/2017,3908,East
Cassey Cress,GTX Basic,Silis,6/4/2017,477,East
Cassey Cress,GTX Plus Basic,Xx-zobam,6/4/2017,1112,East
Cassey Cress,GTXPro,Vehement Capital Partners,6/7/2017,4689,East
Cassey Cress,GTX Plus Pro,Ontomedia,6/9/2017,5112,East
Cassey Cress,GTX Plus Pro,Opentech,6/11/2017,5664,East
Cassey Cress,MG Advanced,Mathtouch,6/13/2017,3600,East
Cassey Cress,MG Advanced,Iselectrics,6/14/2017,3772,East
Cassey Cress,GTX Plus Pro,Plussunin,6/15/2017,6509,East
Cassey Cress,MG Advanced,Umbrella Corporation,6/15/2017,3986,East
Cassey Cress,GTX Basic,Plussunin,6/17/2017,641,East
Cassey Cress,GTX Basic,Initech,6/18/2017,542,East
Cassey Cress,GTX Basic,Plussunin,6/18/2017,530,East
Cassey Cress,MG Advanced,Mathtouch,6/19/2017,3424,East
Cassey Cress,GTX Plus Basic,Bluth Company,6/27/2017,1078,East
Cassey Cress,MG Advanced,Bioplex,6/27/2017,2993,East
Cassey Cress,MG Advanced,Sumace,6/28/2017,2871,East
Cassey Cress,GTXPro,Massive Dynamic,6/30/2017,4256,East
Cassey Cress,GTXPro,Yearin,6/30/2017,5558,East
Cassey Cress,MG Special,Iselectrics,7/3/2017,60,East
Cassey Cress,GTX Plus Pro,Zathunicon,7/4/2017,5274,East
Cassey Cress,MG Advanced,The New York Inquirer,7/6/2017,3508,East
Cassey Cress,GTX Plus Basic,Betasoloin,7/14/2017,1109,East
Cassey Cress,GTX Plus Basic,Konex,7/16/2017,861,East
Cassey Cress,GTX Plus Basic,Plussunin,7/20/2017,1202,East
Cassey Cress,MG Advanced,Initech,7/23/2017,3684,East
Cassey Cress,GTXPro,Acme Corporation,7/28/2017,5318,East
Cassey Cress,MG Advanced,Opentech,7/28/2017,3407,East
Cassey Cress,GTX Plus Basic,Massive Dynamic,7/29/2017,1311,East
Cassey Cress,GTX Basic,Donware,7/30/2017,494,East
Cassey Cress,GTXPro,Massive Dynamic,8/2/2017,4873,East
Cassey Cress,MG Advanced,Gekko & Co,8/4/2017,3808,East
Cassey Cress,GTX Plus Pro,Massive Dynamic,8/4/2017,4598,East
Cassey Cress,GTXPro,Donquadtech,8/5/2017,4697,East
Cassey Cress,MG Advanced,Initech,8/9/2017,3042,East
Cassey Cress,MG Advanced,Kinnamplus,8/9/2017,3156,East
Cassey Cress,GTX Plus Basic,Acme Corporation,8/10/2017,1161,East
Cassey Cress,GTXPro,Kan-code,8/17/2017,4294,East
Cassey Cress,GTX Plus Basic,Betasoloin,8/19/2017,1131,East
Cassey Cress,GTX Plus Basic,Bubba Gump,8/21/2017,1033,East
Cassey Cress,GTX Basic,Bubba Gump,8/21/2017,511,East
Cassey Cress,GTX Plus Basic,Zotware,8/22/2017,1176,East
Cassey Cress,GTX Basic,Gekko & Co,8/25/2017,552,East
Cassey Cress,GTXPro,Vehement Capital Partners,8/27/2017,4994,East
Cassey Cress,GTX Basic,Xx-zobam,8/27/2017,582,East
Cassey Cress,GTX Plus Basic,Kan-code,8/30/2017,907,East
Cassey Cress,MG Special,Opentech,8/31/2017,59,East
Cassey Cress,GTXPro,The New York Inquirer,9/1/2017,5857,East
Cassey Cress,GTX Plus Pro,Plussunin,9/1/2017,4791,East
Cassey Cress,GTXPro,Ganjaflex,9/2/2017,4958,East
Cassey Cress,GTX Plus Basic,Yearin,9/5/2017,904,East
Cassey Cress,GTXPro,Condax,9/6/2017,5113,East
Cassey Cress,MG Special,Opentech,9/7/2017,48,East
Cassey Cress,GTX Basic,Bioplex,9/8/2017,572,East
Cassey Cress,MG Special,Iselectrics,9/8/2017,57,East
Cassey Cress,GTX Basic,Bluth Company,9/11/2017,566,East
Cassey Cress,GTX Plus Pro,Bubba Gump,9/13/2017,5778,East
Cassey Cress,MG Special,Konex,9/15/2017,59,East
